,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
216,3,28,5,11,16,6,8,7,8,3,3,8,8,22,11,2,6,19,6,6,5,7,1,1,3,4,5,5,4,0,3
217,12,1,8,9,8,17,15,10,9,17,2,18,3,17,8,5,10,15,11,8,14,13,9,0,10,8,13,10,13,18,3
218,2,0,3,4,12,2,0,0,1,2,5,7,2,17,1,1,5,15,10,0,4,9,2,2,2,0,1,5,2,0,3
219,5,2,9,12,23,15,11,9,5,20,4,14,8,22,1,19,10,30,6,3,19,14,1,1,15,2,11,3,4,14,3
220,1,4,8,9,23,15,9,4,5,6,3,17,9,20,10,5,9,12,6,2,16,11,3,5,14,2,2,5,5,15,3
221,7,4,7,7,30,10,10,7,8,13,5,7,5,13,5,8,3,19,9,2,9,7,3,4,4,3,10,11,0,11,3
222,8,3,5,3,3,7,13,11,4,7,6,13,8,7,4,5,6,6,10,7,9,12,4,16,4,7,8,12,21,8,3
223,3,4,5,4,10,8,11,7,13,8,8,9,1,13,9,4,5,15,10,3,13,8,5,1,4,2,10,4,5,5,3
224,7,1,6,7,11,6,10,5,10,13,2,18,1,20,2,9,21,15,10,2,12,11,1,2,3,0,2,4,2,8,3
225,11,0,1,4,4,8,8,5,2,12,2,14,0,13,0,11,8,11,1,3,21,8,0,0,12,3,1,4,2,14,3
226,8,18,9,6,6,6,4,4,5,2,6,10,1,23,4,5,15,22,3,3,11,13,0,7,2,2,5,7,12,8,3
227,3,69,6,11,6,8,6,3,5,8,10,4,9,12,4,3,12,13,1,9,8,5,3,7,6,3,5,6,5,9,3
228,6,1,1,2,6,13,13,4,5,8,4,19,7,7,3,9,4,15,3,1,16,9,0,4,11,2,5,11,10,13,3
229,6,1,2,6,2,22,5,5,2,1,3,4,2,2,1,1,4,3,3,2,13,2,0,5,3,2,6,11,2,10,3
230,2,1,15,14,6,13,6,4,5,0,5,23,7,18,4,2,10,22,6,5,13,19,2,6,1,2,5,23,10,1,3
231,11,23,11,7,5,20,7,13,2,3,3,15,18,16,20,7,2,21,2,10,23,9,1,11,2,7,2,18,7,3,3
232,7,0,3,1,3,3,8,2,3,0,2,12,3,3,3,7,1,10,1,0,4,9,1,5,5,1,0,3,7,3,3
233,3,3,8,9,6,18,5,6,9,2,5,15,8,14,17,5,12,12,6,6,18,10,8,6,5,3,8,15,7,1,3
234,9,21,13,5,21,8,3,6,18,12,6,12,13,12,12,5,9,10,15,4,7,6,4,0,2,2,11,11,5,7,3
235,3,0,4,4,3,21,2,1,0,0,5,9,2,4,0,6,1,3,1,4,2,5,0,3,4,0,1,6,1,3,3
236,3,21,17,6,1,13,7,5,1,1,5,19,16,18,15,7,9,22,5,7,12,16,2,2,4,0,1,19,1,9,3
237,9,1,7,4,0,12,16,12,7,0,0,7,2,1,13,12,6,0,0,7,4,5,0,8,15,1,3,9,16,15,3
238,7,2,7,1,10,9,7,14,5,0,12,13,11,11,7,7,3,7,7,14,21,12,5,18,7,17,10,10,35,4,3
239,9,1,9,7,9,6,24,3,8,9,3,27,8,19,9,3,8,23,17,1,5,16,11,9,3,11,11,14,16,14,3
